Season,TeamID,TeamName,AdjO,AdjD,Tempo,Rating,Seed,SOS
2013,369,Marquette,113.994,95.3386,62.8067,18.6549,3,31.449
2013,370,Louisville,114.313,83.1717,65.2907,31.1411,1,31.558
2013,373,La Salle,110.546,97.2446,64.3651,13.3018,13,23.333
2013,374,Kansas St.,113.291,95.0325,60.9899,18.2582,4,29.676
2013,375,Kansas,113.253,87.8314,65.5441,25.4211,1,27.947
2013,376,James Madison,99.5556,101.23,62.5026,-1.67462,16,10.325
2013,377,Iowa St.,116.863,100.569,67.5365,16.2941,10,27.483
2013,378,Iona,114.644,106.791,68.6813,7.85234,15,15.075
2013,379,Indiana,122.482,92.5582,65.7072,29.9242,1,32.801
2013,380,Illinois,110.496,95.3564,64.2338,15.1395,7,36.349
2013,381,Harvard,108.139,101.233,62.4831,6.90592,14,17.558
2013,382,Gonzaga,120.831,91.8845,62.4727,28.9467,1,22.395
2013,383,Georgetown,107.747,85.5846,59.9536,22.1624,2,31.664
2013,384,Florida Gulf Coast,103.304,99.9512,66.6594,3.35293,15,14.203
2013,385,Florida,118.162,86.1792,60.6898,31.9831,3,24.664
2013,386,Duke,119.646,92.9223,66.0764,26.724,2,29.848
2013,387,Davidson,112.441,101.27,63.2755,11.1711,14,13.113
2013,388,Creighton,119.389,97.1644,63.0944,22.2247,7,22.691
2013,389,Colorado St.,118.136,97.9562,62.9945,20.1795,8,23.522
